date,ontime,high,low,precip,snow
2017-01-02,0.9584689142156795,41.0,28.2,T,0
2017-01-03,0.9407515727030753,44.1,39.9,0.89,0
2017-01-04,0.9583207980458248,48.0,33.1,0.06,T
2017-01-05,0.9412446283544459,34.0,27.1,0,0
2017-01-06,0.9421772696413011,31.1,24.3,0.06,1.1
2017-01-09,0.8763244350559501,20.1,11.1,0,0
2017-01-10,0.878081373767278,39.0,16.2,0.14,0
2017-01-11,0.9406057288782178,55.0,39.0,0.09,0
2017-01-12,0.9389381285140015,61.0,41.0,0.15,0
2017-01-13,0.9418820429731618,57.9,25.2,0,0
2017-01-16,0.9485852468227489,42.1,23.2,0,0
2017-01-17,0.9317448257427794,42.1,32.0,0.3,T
2017-01-18,0.9052973694247521,39.9,32.0,0.36,0
2017-01-19,0.936506270860527,46.0,31.1,0,0
2017-01-20,0.9433512330155728,39.9,34.0,0,0
2017-01-23,0.9284570278405985,39.9,35.1,0.31,T
2017-01-24,0.9537168297166588,42.1,35.1,1.09,T
2017-01-25,0.9324022704593923,44.1,36.0,0.02,0
2017-01-26,0.9204728046698417,51.1,37.0,0.05,0
2017-01-27,0.9390354804076769,44.1,36.0,T,T
2017-01-30,0.9256431549201948,36.0,24.3,0,0
2017-01-31,0.9305109647681442,28.2,20.1,0.06,0.59
2017-02-01,0.9520854269917897,43.0,27.1,0.05,0.79
2017-02-02,0.9299813773079991,39.9,29.1,0,0
2017-02-03,0.9430180338975857,33.1,25.2,0,0
2017-02-06,0.9476195614187158,39.0,32.0,0,0
2017-02-07,0.9427986721371127,37.9,33.1,0.44,1.18
2017-02-08,0.9499895752848171,52.0,25.2,0.02,0
2017-02-09,0.9227772919291015,39.0,11.1,1.25,10.91
2017-02-10,0.8443520087048109,25.2,11.1,T,T
2017-02-13,0.9001537609535346,34.0,24.3,0.09,2.2
2017-02-14,0.9124869157916641,34.0,22.1,0,0
2017-02-15,0.9343987674041789,39.9,27.1,0.22,0.12
2017-02-16,0.9304532176854919,35.1,27.1,0.07,1.61
2017-02-17,0.8789891037661236,41.0,23.2,0,0
2017-02-20,0.9203645079441578,48.0,33.1,0,0
2017-02-21,0.9146311496367238,39.9,30.2,0,0
2017-02-22,0.9437514063902077,55.9,37.9,0,0
2017-02-23,0.9422469792147709,68.0,39.0,0,0
2017-02-24,0.9607197139568573,73.0,46.0,0,0
2017-02-27,0.9474787133183752,55.0,30.2,0,0
