Red,,Red Line,Rapid Transit,Red Line,Rail,2017-02-01,PEAK,Passenger Wait Time,82104.03770589,86235.998764634,
Red,,Red Line,Rapid Transit,Red Line,Rail,2017-02-01,OFF_PEAK,Passenger Wait Time,94104.035574491,99242.934111209,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-02-01,OFF_PEAK,Passenger Wait Time,100434.572248547,105515.978109325,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-02-01,PEAK,Passenger Wait Time,77302.816617461,82321.813114799,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2017-02-01,OFF_PEAK,Passenger Wait Time,16130.068158083,19068.90340212,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2017-02-01,PEAK,Passenger Wait Time,8338.335014569,10237.688741936,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2017-02-01,OFF_PEAK,Passenger Wait Time,21725.655078646,28902.154571936,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2017-02-01,PEAK,Passenger Wait Time,13367.028550816,17091.153980056,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2017-02-01,OFF_PEAK,Passenger Wait Time,20641.748710194,25334.860115459,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2017-02-01,PEAK,Passenger Wait Time,13910.001161866,18500.974968753,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2017-02-01,PEAK,Passenger Wait Time,17256.042928457,22618.831373435,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2017-02-01,OFF_PEAK,Passenger Wait Time,27977.453721242,35725.293737084,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-02-01,PEAK,Passenger Wait Time,26309.965741798,27293.480170332,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-02-01,OFF_PEAK,Passenger Wait Time,40680.287423862,42229.60225489,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,261,293,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,856,975,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,281,313,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,569,633,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,918,1095,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,375,465,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,1302,1674,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,654,799,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,29,30,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,13,14,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,23,24,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,32,33,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,20,21,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,14,15,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,25,26,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,28,28,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,16,16,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,14,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,16,16,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,33,35,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,20,22,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,7,10,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,8,13,2
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,6,10,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,18,24,2
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,19,20,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,18,19,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,30,30,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,7,10,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-02-01,PEAK,Headway / Schedule Adherence,14,15,0
701,CT1,,Local Bus,Other Bus,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,153,254,
701,CT1,,Local Bus,Other Bus,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,304,371,
747,CT2,,Local Bus,Other Bus,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,223,387,
747,CT2,,Local Bus,Other Bus,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,144,299,
708,CT3,,Local Bus,Other Bus,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,81,183,
708,CT3,,Local Bus,Other Bus,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,151,218,
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,395,501,
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,1028,1309,
4,4,,Limited Service,Other Bus,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,30,33,
4,4,,Limited Service,Other Bus,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,119,139,
5,5,,Limited Service,Other Bus,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,30,49,
7,7,,Local Bus,Other Bus,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,332,405,
7,7,,Local Bus,Other Bus,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,321,405,
8,8,,Local Bus,Other Bus,Bus,2017-02-01,PEAK,Headway / Schedule Adherence,107,256,
8,8,,Local Bus,Other Bus,Bus,2017-02-01,OFF_PEAK,Headway / Schedule Adherence,313,576,
