Red,,Red Line,Rapid Transit,Red Line,Rail,2017-01-01,OFF_PEAK,Passenger Wait Time,57335.411462705,61424.302412185,0.933432032780093,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-01-01,OFF_PEAK,Passenger Wait Time,58026.274473558,60157.868356017,,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2017-01-01,OFF_PEAK,Passenger Wait Time,15451.692886106,19671.94559289,,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2017-01-01,OFF_PEAK,Passenger Wait Time,22407.527596142,31385.288189769,,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2017-01-01,OFF_PEAK,Passenger Wait Time,18700.533631824,23153.192221719,,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2017-01-01,OFF_PEAK,Passenger Wait Time,23152.801906514,28466.557938104,,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-01-01,OFF_PEAK,Passenger Wait Time,25273.50576196,26903.145585907,,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,675,801,,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,173,197,,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,966,1045,,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,1415,1858,,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,32,32,,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,11,14,,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,17,18,,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,14,14,,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,16,16,,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,12,12,,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,16,16,,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,16,16,,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,12,16,,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,12,12,,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,14,14,,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-01-01,PEAK,Headway / Schedule Adherence,0,0,,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,12,14,,0
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2017-01-01,OFF_PEAK,Headway / Schedule Adherence,709,1161,,
