Red,,Red Line,Rapid Transit,Red Line,Rail,2017-03-01,OFF_PEAK,Passenger Wait Time,67263.637086538,71422.890636829,
Red,,Red Line,Rapid Transit,Red Line,Rail,2017-03-01,PEAK,Passenger Wait Time,51884.130440958,55681.740030118,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-03-01,PEAK,Passenger Wait Time,45877.463361266,47118.673050126,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2017-03-01,OFF_PEAK,Passenger Wait Time,72286.702156995,75637.944525799,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-03-01,OFF_PEAK,Passenger Wait Time,29530.533976844,30634.735815149,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2017-03-01,PEAK,Passenger Wait Time,13354.087336727,13625.549524727,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-03-01,PEAK,Headway / Schedule Adherence,231,253,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,732,886,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,380,418,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2017-03-01,PEAK,Headway / Schedule Adherence,237,274,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,817,1130,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2017-03-01,PEAK,Headway / Schedule Adherence,429,596,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2017-03-01,PEAK,Headway / Schedule Adherence,533,671,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,1067,1349,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,30,30,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,21,24,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,11,14,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,16,21,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,33,33,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,23,26,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,14,15,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,13,14,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,27,28,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,16,16,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,15,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,34,35,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,15,16,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,21,22,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,10,13,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,23,24,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,18,20,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,15,19,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,24,30,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,8,10,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2017-03-01,PEAK,Headway / Schedule Adherence,12,15,0
701,CT1,,Local Bus,Other Bus,Bus,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,286,417,
701,CT1,,Local Bus,Other Bus,Bus,2017-03-01,PEAK,Headway / Schedule Adherence,103,272,
747,CT2,,Local Bus,Other Bus,Bus,2017-03-01,PEAK,Headway / Schedule Adherence,151,319,
747,CT2,,Local Bus,Other Bus,Bus,2017-03-01,OFF_PEAK,Headway / Schedule Adherence,285,443,
