Red,NULL,Red Line,Rapid Transit,Red Line,Rail,2018-06-01,OFF_PEAK,Passenger Wait Time,92749.323083920,103125.197524142,NULL
Red,NULL,Red Line,Rapid Transit,Red Line,Rail,2018-06-01,PEAK,Passenger Wait Time,67612.491733866,73003.667993442,NULL
Orange,NULL,Orange Line,Rapid Transit,Orange Line,Rail,2018-06-01,OFF_PEAK,Passenger Wait Time,100283.848176264,104557.324233191,NULL
Orange,NULL,Orange Line,Rapid Transit,Orange Line,Rail,2018-06-01,PEAK,Passenger Wait Time,80688.657302184,82888.406006140,NULL
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-06-01,OFF_PEAK,Passenger Wait Time,16543.858403148,20744.573826633,NULL
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-06-01,PEAK,Passenger Wait Time,9202.188627981,11313.647259820,NULL
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-06-01,PEAK,Passenger Wait Time,13596.642530593,17623.208052763,NULL
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-06-01,OFF_PEAK,Passenger Wait Time,22835.543647700,28931.542491537,NULL
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-06-01,PEAK,Passenger Wait Time,15112.216807284,18852.311959096,NULL
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-06-01,OFF_PEAK,Passenger Wait Time,22590.119463026,29359.215633007,NULL
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-06-01,PEAK,Passenger Wait Time,18427.389808913,24622.106253822,NULL
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-06-01,OFF_PEAK,Passenger Wait Time,28967.487607801,36900.454139251,NULL
Blue,NULL,Blue Line,Rapid Transit,Blue Line,Rail,2018-06-01,OFF_PEAK,Passenger Wait Time,34542.756625785,35930.595087531,NULL
Blue,NULL,Blue Line,Rapid Transit,Blue Line,Rail,2018-06-01,PEAK,Passenger Wait Time,20074.320619221,20458.176908050,NULL
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,1.000000000,1.000000000,NULL
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,15.000000000,15.000000000,NULL
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,59.000000000,72.000000000,NULL
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,29.000000000,32.000000000,NULL
CR-Fairmount,NULL,Fairmount Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,28.000000000,28.000000000,0.000000000
CR-Fairmount,NULL,Fairmount Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,9.000000000,9.000000000,0.000000000
CR-Fitchburg,NULL,Fitchburg Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,13.000000000,14.000000000,0.000000000
CR-Fitchburg,NULL,Fitchburg Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,17.000000000,24.000000000,0.000000000
CR-Worcester,NULL,Framingham/Worcester Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,29.000000000,34.000000000,0.000000000
CR-Worcester,NULL,Framingham/Worcester Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,21.000000000,21.000000000,0.000000000
CR-Franklin,NULL,Franklin Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,15.000000000,15.000000000,0.000000000
CR-Franklin,NULL,Franklin Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,26.000000000,26.000000000,0.000000000
CR-Greenbush,NULL,Greenbush Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,14.000000000,14.000000000,0.000000000
CR-Greenbush,NULL,Greenbush Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,10.000000000,10.000000000,0.000000000
CR-Haverhill,NULL,Haverhill Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,15.000000000,16.000000000,0.000000000
CR-Haverhill,NULL,Haverhill Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,28.000000000,28.000000000,0.000000000
CR-Kingston,NULL,Kingston/Plymouth Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,15.000000000,15.000000000,0.000000000
CR-Kingston,NULL,Kingston/Plymouth Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,9.000000000,9.000000000,0.000000000
CR-Lowell,NULL,Lowell Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,13.000000000,15.000000000,0.000000000
CR-Lowell,NULL,Lowell Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,30.000000000,35.000000000,0.000000000
CR-Middleborough,NULL,Middleborough/Lakeville Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,14.000000000,14.000000000,0.000000000
CR-Middleborough,NULL,Middleborough/Lakeville Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,9.000000000,10.000000000,0.000000000
CR-Needham,NULL,Needham Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,10.000000000,10.000000000,0.000000000
CR-Needham,NULL,Needham Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,21.000000000,22.000000000,0.000000000
CR-Newburyport,NULL,Newburyport/Rockport Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,21.000000000,24.000000000,0.000000000
CR-Newburyport,NULL,Newburyport/Rockport Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,16.000000000,20.000000000,0.000000000
CR-Newburyport,NULL,Newburyport/Rockport Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,12.000000000,13.000000000,0.000000000
CR-Newburyport,NULL,Newburyport/Rockport Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,10.000000000,10.000000000,0.000000000
CR-Providence,NULL,Providence/Stoughton Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,10.000000000,10.000000000,0.000000000
CR-Providence,NULL,Providence/Stoughton Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,PEAK,Headway / Schedule Adherence,11.000000000,15.000000000,0.000000000
CR-Providence,NULL,Providence/Stoughton Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,18.000000000,19.000000000,0.000000000
CR-Providence,NULL,Providence/Stoughton Line,Commuter Rail,NULL,Commuter Rail,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,29.000000000,29.000000000,0.000000000
701,CT1,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,117.000000000,203.000000000,NULL
701,CT1,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,179.000000000,322.000000000,NULL
747,CT2,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,73.000000000,395.000000000,NULL
747,CT2,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,61.000000000,267.000000000,NULL
708,CT3,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,33.000000000,158.000000000,NULL
708,CT3,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,51.000000000,174.000000000,NULL
8,8,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,2.000000000,5.000000000,NULL
16,16,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,3.000000000,15.000000000,NULL
16,16,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,0.000000000,4.000000000,NULL
17,17,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,2.000000000,2.000000000,NULL
17,17,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,3.000000000,4.000000000,NULL
23,23,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,0.000000000,1.000000000,NULL
28,28,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,15.000000000,15.000000000,NULL
44,44,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,0.000000000,4.000000000,NULL
57,57,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,172.000000000,256.000000000,NULL
57,57,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,583.000000000,740.000000000,NULL
57A,57A,NULL,Limited Service,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,21.000000000,25.000000000,NULL
57A,57A,NULL,Limited Service,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,94.000000000,144.000000000,NULL
59,59,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,78.000000000,107.000000000,NULL
59,59,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,130.000000000,200.000000000,NULL
60,60,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,218.000000000,381.000000000,NULL
60,60,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,104.000000000,168.000000000,NULL
65,65,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,137.000000000,171.000000000,NULL
65,65,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,90.000000000,205.000000000,NULL
66,66,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,32.000000000,48.000000000,NULL
66,66,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,3.000000000,6.000000000,NULL
90,90,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,30.000000000,52.000000000,NULL
90,90,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,76.000000000,113.000000000,NULL
94,94,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,120.000000000,165.000000000,NULL
94,94,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,70.000000000,120.000000000,NULL
95,95,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,36.000000000,99.000000000,NULL
95,95,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,68.000000000,162.000000000,NULL
96,96,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,128.000000000,202.000000000,NULL
96,96,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,151.000000000,205.000000000,NULL
97,97,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,53.000000000,72.000000000,NULL
97,97,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,50.000000000,88.000000000,NULL
99,99,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,82.000000000,100.000000000,NULL
99,99,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,52.000000000,89.000000000,NULL
100,100,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,115.000000000,153.000000000,NULL
100,100,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,99.000000000,122.000000000,NULL
101,101,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,13.000000000,24.000000000,NULL
101,101,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,7.000000000,7.000000000,NULL
105,105,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,26.000000000,73.000000000,NULL
105,105,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,27.000000000,49.000000000,NULL
106,106,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,108.000000000,144.000000000,NULL
106,106,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,138.000000000,241.000000000,NULL
108,108,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,122.000000000,230.000000000,NULL
108,108,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,90.000000000,144.000000000,NULL
109,109,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,1.000000000,2.000000000,NULL
111,111,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,5.000000000,5.000000000,NULL
114,114,NULL,Limited Service,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,41.000000000,59.000000000,NULL
114,114,NULL,Limited Service,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,0.000000000,4.000000000,NULL
116,116,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,145.000000000,214.000000000,NULL
116,116,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,230.000000000,363.000000000,NULL
117,117,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,277.000000000,414.000000000,NULL
117,117,NULL,Key Bus Route (Frequent Service),Key Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,117.000000000,195.000000000,NULL
119,119,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,14.000000000,73.000000000,NULL
119,119,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,67.000000000,140.000000000,NULL
120,120,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,134.000000000,292.000000000,NULL
120,120,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,43.000000000,126.000000000,NULL
121,121,NULL,Limited Service,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,38.000000000,63.000000000,NULL
121,121,NULL,Limited Service,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,18.000000000,26.000000000,NULL
131,131,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,60.000000000,122.000000000,NULL
131,131,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,74.000000000,157.000000000,NULL
132,132,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,35.000000000,71.000000000,NULL
132,132,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,55.000000000,100.000000000,NULL
134,134,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,122.000000000,256.000000000,NULL
134,134,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,63.000000000,173.000000000,NULL
136,136,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,69.000000000,126.000000000,NULL
136,136,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,64.000000000,136.000000000,NULL
137,137,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,62.000000000,142.000000000,NULL
137,137,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,43.000000000,88.000000000,NULL
170,170,NULL,Limited Service,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,0.000000000,5.000000000,NULL
170,170,NULL,Limited Service,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,2.000000000,2.000000000,NULL
201,201,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,108.000000000,181.000000000,NULL
201,201,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,39.000000000,61.000000000,NULL
202,202,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,20.000000000,70.000000000,NULL
202,202,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,51.000000000,123.000000000,NULL
210,210,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,70.000000000,141.000000000,NULL
210,210,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,65.000000000,112.000000000,NULL
211,211,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,43.000000000,87.000000000,NULL
211,211,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,62.000000000,137.000000000,NULL
212,212,NULL,Local Bus,Other Bus,Bus,2018-06-01,OFF_PEAK,Headway / Schedule Adherence,7.000000000,33.000000000,NULL
212,212,NULL,Local Bus,Other Bus,Bus,2018-06-01,PEAK,Headway / Schedule Adherence,32.000000000,41.000000000,NULL
